price_ori,item_rating,price_actual,total_rating,total_sold,favorite,Type of product,Type of product_2,date_date,from,to,fees
32.9,5.0,32.24,42.0,69.0,232.0,women's clothing,pants & shorts,2020-11-23,overseas,kuala lumpur,0.0
48.87,4.9,19.5,12.0,22.0,123.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
69.9,5.0,69.9,2.0,5.0,62.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
99.9,4.7,42.0,3.0,4.0,49.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
25.6,4.8,16.19,202.0,398.0,398.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
40.0,5.0,40.0,18.0,50.0,391.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
69.9,5.0,55.9,1.0,3.0,85.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
4.0,4.6,3.79,639.0,1700.0,1700.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
40.84,4.9,15.59,396.0,872.0,872.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
18.99,4.9,9.9,1200.0,3000.0,919.0,baby & toys,baby clothing,2020-11-23,overseas,kuala lumpur,0.0
29.9,4.8,29.9,28.0,43.0,286.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
29.9,5.0,7.79,1500.0,4000.0,664.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.37
29.99,4.9,15.99,1700.0,5300.0,5300.0,baby & toys,baby clothing,2020-11-23,overseas,kuala lumpur,0.0
47.11,4.7,25.64,279.0,552.0,552.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
21.0,4.9,12.55,1700.0,3600.0,3600.0,baby & toys,baby clothing,2020-11-23,overseas,kuala lumpur,0.0
19.99,4.9,19.99,2600.0,7700.0,7700.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.37
99.9,5.0,84.9,15.0,25.0,44.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.01
